scenario,variant,rep,cpu,INP,INP_W,INP_H,INP_R,LoAFsum,LoAFcount,LoAFsum_500ms,LoAFcount_500ms,LoAFany_500ms,source_dir
form,I2,1,2.0,24,3.400000035762787,0.2999999523162842,20.30000001192093,2330.6230000357627,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,2,2.0,24,0.699999988079071,0.0,23.30000001192093,1507.709999976158,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,3,2.0,24,0.5,0.0,23.5,1333.0870000357627,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,4,2.0,24,0.5,0.0,23.5,2369.334,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,5,2.0,24,0.6000000238418579,0.0,23.399999976158142,2338.268999988079,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,6,2.0,24,0.40000003576278687,0.0,23.599999964237213,1276.6400000119208,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,7,2.0,24,0.5,0.0,23.5,2306.849999988079,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,8,2.0,24,0.5,0.0,23.5,2302.2429999523165,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,9,2.0,32,0.6000000238418579,0.0,31.399999976158142,2317.0820000357626,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,10,2.0,32,0.5,0.0,31.5,2332.994,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,11,2.0,24,0.6000000238418579,0.0,23.399999976158142,1278.915999988079,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,12,2.0,24,0.6000000238418579,0.0,23.399999976158142,1323.7190000476837,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,13,2.0,24,0.30000001192092896,0.0,23.69999998807907,1282.8870000476836,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,14,2.0,32,0.699999988079071,0.0,31.30000001192093,2439.0949999880795,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2,15,2.0,32,0.699999988079071,0.0,31.30000001192093,1313.268999988079,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3,1,2.0,32,0.5,0.0,31.5,2385.6410000119213,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3,2,2.0,24,0.6000000238418579,0.0,23.399999976158142,1267.228999988079,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
