scenario,variant,cpu,n,p50_INP_ms,p75_INP_ms,loaf_sum_median,loaf_any_pct
content,B0,2.0,15,24.0,24.0,249.5,0.0
content,B0,4.0,15,32.0,32.0,255.89999997615814,0.0
content,B0,6.0,15,40.0,40.0,249.10000002384186,0.0
content,B0,8.0,15,48.0,48.0,247.70000004768372,0.0
content,I1,2.0,15,24.0,24.0,249.5,0.0
content,I1,4.0,15,32.0,32.0,255.80000001192093,0.0
content,I1,6.0,15,40.0,40.0,246.80000001192093,0.0
content,I1,8.0,15,48.0,48.0,249.80000001192093,0.0
content,I2,2.0,15,24.0,32.0,249.39999997615814,0.0
content,I2,4.0,15,24.0,28.0,253.89999997615814,0.0
content,I2,6.0,15,32.0,32.0,246.80000001192093,0.0
content,I2,8.0,15,24.0,32.0,249.19999998807907,0.0
content,I2+I3,2.0,15,24.0,32.0,250.0,0.0
content,I2+I3,4.0,15,24.0,24.0,254.0,0.0
content,I2+I3,6.0,15,24.0,32.0,245.0,0.0
content,I2+I3,8.0,15,32.0,32.0,255.30000001192093,0.0
content,I2+I3+I4,2.0,15,24.0,24.0,248.79999995231628,0.0
content,I2+I3+I4,4.0,15,24.0,24.0,259.80000001192093,0.0
content,I2+I3+I4,6.0,15,24.0,28.0,248.30000001192093,0.0
content,I2+I3+I4,8.0,15,32.0,32.0,251.30000001192093,0.0
content,I2+I4,2.0,15,24.0,24.0,249.0999999642372,0.0
content,I2+I4,4.0,15,24.0,24.0,255.19999998807907,0.0
content,I2+I4,6.0,15,24.0,32.0,243.70000004768372,0.0
content,I2+I4,8.0,15,32.0,32.0,249.10000002384186,0.0
content,I3,2.0,15,24.0,24.0,249.69999998807907,0.0
content,I3,4.0,15,32.0,32.0,252.89999997615814,0.0
content,I3,6.0,15,40.0,40.0,244.30000001192093,0.0
content,I3,8.0,15,48.0,48.0,255.0,0.0
content,I3+I4,2.0,15,24.0,24.0,249.0,0.0
content,I3+I4,4.0,15,32.0,32.0,253.30000001192093,0.0
content,I3+I4,6.0,15,40.0,40.0,244.30000001192093,0.0
content,I3+I4,8.0,15,48.0,48.0,248.19999998807907,0.0
content,I4,2.0,15,24.0,24.0,249.70000004768372,0.0
content,I4,4.0,15,32.0,32.0,254.70000004768372,0.0
content,I4,6.0,15,40.0,40.0,246.60000002384186,0.0
content,I4,8.0,15,48.0,48.0,253.80000001192093,0.0
dashboard,B0,2.0,15,32.0,40.0,557.0999999642372,0.0
dashboard,B0,4.0,15,40.0,48.0,555.7999999523163,0.0
dashboard,B0,6.0,15,64.0,72.0,562.0,0.0
dashboard,B0,8.0,15,72.0,72.0,611.0,0.0
dashboard,I1,2.0,15,32.0,32.0,556.1000000238419,0.0
dashboard,I1,4.0,15,40.0,48.0,558.0,0.0
dashboard,I1,6.0,15,64.0,72.0,561.5,0.0
dashboard,I1,8.0,15,72.0,80.0,612.5,0.0
dashboard,I2,2.0,15,24.0,24.0,554.9000000357628,0.0
dashboard,I2,4.0,15,24.0,28.0,558.2999999523163,0.0
dashboard,I2,6.0,15,24.0,24.0,561.7999999523163,0.0
dashboard,I2,8.0,15,24.0,24.0,621.8999999761581,0.0
dashboard,I2+I3,2.0,15,24.0,32.0,558.0,0.0
dashboard,I2+I3,4.0,15,24.0,24.0,555.6999999880791,0.0
dashboard,I2+I3,6.0,15,24.0,24.0,560.1000000238419,0.0
dashboard,I2+I3,8.0,15,24.0,32.0,614.0999999642372,0.0
dashboard,I2+I3+I4,2.0,15,24.0,24.0,554.5,0.0
dashboard,I2+I3+I4,4.0,15,24.0,28.0,557.8000000119209,0.0
dashboard,I2+I3+I4,6.0,15,24.0,24.0,559.5,0.0
dashboard,I2+I3+I4,8.0,15,24.0,24.0,618.5,0.0
dashboard,I2+I4,2.0,15,24.0,24.0,555.6999999880791,0.0
dashboard,I2+I4,4.0,15,24.0,24.0,556.0,0.0
dashboard,I2+I4,6.0,15,24.0,28.0,558.6000000238419,0.0
dashboard,I2+I4,8.0,15,24.0,28.0,615.5,0.0
dashboard,I3,2.0,15,32.0,32.0,554.2999999523163,0.0
dashboard,I3,4.0,15,48.0,52.0,556.9000000357628,0.0
dashboard,I3,6.0,15,64.0,64.0,560.8000000119209,0.0
dashboard,I3,8.0,15,72.0,80.0,618.0999999642372,0.0
