kind,scenario,cpu,optimized,p75_baseline_ms,p75_optimized_ms,delta_p75_pct,p_value_holm,cliffs_delta,PS_prob_opt_lt_base
improvement,content,8.0,I2,48.0,32.0,-33.333333333333336,1.130305781447911e-05,1.0,1.0
improvement,content,8.0,I2+I3+I4,48.0,32.0,-33.333333333333336,1.130305781447911e-05,1.0,1.0
improvement,content,8.0,I2+I3,48.0,32.0,-33.333333333333336,1.6997887403814314e-05,0.9688888888888889,0.9844444444444445
improvement,content,8.0,I2+I4,48.0,32.0,-33.333333333333336,1.6997887403814314e-05,0.9688888888888889,0.9844444444444445
improvement,content,4.0,I2+I3+I4,32.0,24.0,-25.0,2.7443153081011566e-05,0.8666666666666667,0.9333333333333333
improvement,dashboard,8.0,I2+I3,72.0,32.0,-55.55555555555556,5.638281893200412e-06,1.0,1.0
improvement,dashboard,8.0,I2,72.0,24.0,-66.66666666666667,5.638281893200412e-06,1.0,1.0
improvement,dashboard,8.0,I2+I4,72.0,28.0,-61.111111111111114,5.638281893200412e-06,1.0,1.0
improvement,dashboard,8.0,I2+I3+I4,72.0,24.0,-66.66666666666667,5.638281893200412e-06,1.0,1.0
improvement,dashboard,6.0,I2+I3+I4,72.0,24.0,-66.66666666666667,5.675562387947604e-06,1.0,1.0
improvement,form,6.0,I2+I4,3344.0,24.0,-99.2822966507177,7.519716930923705e-06,1.0,1.0
improvement,form,4.0,I2+I3,2316.0,24.0,-98.96373056994818,9.994443589403255e-06,1.0,1.0
improvement,form,4.0,I2+I3+I4,2316.0,24.0,-98.96373056994818,1.0875633526057234e-05,1.0,1.0
improvement,form,4.0,I2,2316.0,32.0,-98.61830742659758,1.1038291169726425e-05,1.0,1.0
improvement,form,4.0,I2+I4,2316.0,28.0,-98.79101899827289,1.1038291169726425e-05,1.0,1.0
regression,form,6.0,I1,3344.0,3408.0,1.9138755980861244,1.4745326027274776e-05,-0.991111111111111,0.004444444444444473
regression,form,6.0,I3,3344.0,3404.0,1.7942583732057416,0.035281511590885946,-0.5333333333333334,0.23333333333333328
regression,form,6.0,I3+I4,3344.0,3472.0,3.827751196172249,0.035281511590885946,-0.5422222222222222,0.22888888888888892
